seq,type,url
1,fake,https://www.youtube.com/watch?v=ZSJRjlmjurI
2,fake,https://www.youtube.com/watch?v=EN6tu0aEVqs
3,fake,https://www.youtube.com/watch?v=SweRCxxJys8
4,fake,https://www.youtube.com/watch?v=OtiM4N3LZfU
5,fake,https://www.youtube.com/watch?v=rSUSG2dzJ6o
6,fake,https://www.youtube.com/watch?v=pAR7_ikCQlE
7,fake,https://www.youtube.com/watch?v=K45uH_EtNcw
8,fake,https://www.youtube.com/watch?v=RdPoOfShbUc
9,fake,https://www.youtube.com/watch?v=jGGXEce1RN0
10,fake,https://www.youtube.com/watch?v=WBcPQjCaFpc
11,fake,https://www.youtube.com/watch?v=yQvUUcwP0TE
12,fake,https://www.youtube.com/watch?v=IypUCKpIhxI
13,fake,https://www.youtube.com/watch?v=pOSWwkc1kz4
14,fake,https://www.youtube.com/watch?v=1waqVlu2vsY
15,fake,https://www.youtube.com/watch?v=ExcTTo_qKuI
16,fake,https://www.youtube.com/watch?v=lfyD0xjwvvk
17,fake,https://www.youtube.com/watch?v=OSXGXHIelqo
18,fake,https://www.youtube.com/watch?v=mfcBYFED2_g
19,fake,https://www.youtube.com/watch?v=EJYEhl1n3aE
20,fake,https://www.youtube.com/watch?v=mUPAGWWoZqs
21,fake,https://www.youtube.com/watch?v=X4-s6-tq3Ww
22,fake,https://www.youtube.com/watch?v=qLNvrw2SOPg
23,fake,https://www.youtube.com/watch?v=P1g4IXc396U
24,fake,https://www.youtube.com/watch?v=FnCzcKdZ69U
25,fake,https://www.youtube.com/watch?v=HyDAJkZvavg
26,fake,https://www.youtube.com/watch?v=5DszfLQFtxk
27,fake,https://www.youtube.com/watch?v=U1E-mnbSWZw
28,fake,https://www.youtube.com/watch?v=8dbMnHrXht0
29,fake,https://www.youtube.com/watch?v=tixkXjw8DV4
30,fake,https://www.youtube.com/watch?v=7xkocYZkSnc
31,fake,https://www.youtube.com/watch?v=Nm9me1vXLNU
32,fake,https://www.youtube.com/watch?v=940_jSCTYaM
33,fake,https://www.youtube.com/watch?v=Wuf2ddc1V0g
34,fake,https://www.youtube.com/watch?v=Gdt5fzpsFVs
35,fake,https://www.youtube.com/watch?v=BdhYaxwGiis
36,fake,https://www.youtube.com/watch?v=MKX6ogKGPKw
37,fake,https://www.youtube.com/watch?v=LxfF7FATo1g
38,fake,https://www.youtube.com/watch?v=AlstFSBhsc4
39,fake,https://www.youtube.com/watch?v=zZIh7EksxPQ
40,fake,https://www.youtube.com/watch?v=wAENVfFTHyw
41,fake,https://www.youtube.com/watch?v=bCDvvt-RTf8
42,fake,https://www.youtube.com/watch?v=ZrAdYhJuvHo
43,fake,https://www.youtube.com/watch?v=m5LcIIgfxIo
44,fake,https://www.youtube.com/watch?v=m6wGAyoBh-E
45,fake,https://www.youtube.com/watch?v=qO2yrO4jruc
46,fake,https://www.youtube.com/watch?v=fReExkc1N2s
47,fake,https://www.youtube.com/watch?v=4tq56uhQLko
48,fake,https://www.youtube.com/watch?v=3md_6062dvQ
49,fake,https://www.youtube.com/watch?v=2YIYMGhDuPU
